"Please specify Gift Card Value","Please specify Gift Card Value"
"All codes already exists","All codes already exists"
"%1 in row %2 ","%1 in row %2 "
"Codes already exists. Duplicate codes:<br /> %1","Codes already exists. Duplicate codes:<br /> %1"
GiftCard,GiftCard
"This gift card account is not active.","This gift card account is not active."
"Gift Card was deleted.","Gift Card was deleted."
"%1 Only %2 accounts were created.","%1 Only %2 accounts were created."
"Not enough free gift card codes in the code pool.
                Please generate more codes before invoicing the order.","Not enough free gift card codes in the code pool.
                Please generate more codes before invoicing the order."
"From %1","From %1"
"All Store Views","All Store Views"
"Use Config Settings","Use Config Settings"
"All Websites","All Websites"
Amounts,Amounts
Amount,Amount
"Drag me","Drag me"
Apply,Apply
"Remove Gift Cards Code","Remove Gift Cards Code"
Remove,Remove
"Status: %1","Status: %1"
"Current Balance: %1","Current Balance: %1"
unlimited,unlimited
"Valid till: %1","Valid till: %1"
"Wrong Gift Card Code.","Wrong Gift Card Code."
"Apply Gift Card Code","Apply Gift Card Code"
"Enter gift card code","Enter gift card code"
"Add Gift Card","Add Gift Card"
"Check Gift Card status","Check Gift Card status"
"Specify Gift Code","Specify Gift Code"
Submit,Submit
"Gift Codes","Gift Codes"
"Code: %1","Code: %1"
"Choose an Amount...","Choose an Amount..."
"Custom Amount","Custom Amount"
"Minimum: %1","Minimum: %1"
"Maximum: %1","Maximum: %1"
"Choose card type","Choose card type"
"-- Please Select --","-- Please Select --"
"Please be aware that printed gift card will be sent to the shipping address you specify during checkout.","Please be aware that printed gift card will be sent to the shipping address you specify during checkout."
"Choose card Image","Choose card Image"
"Please be aware that delivery date of printed certificates may be different due to post.","Please be aware that delivery date of printed certificates may be different due to post."
"Select timezone","Select timezone"
Enabled,Enabled
"Product Types, Which Can Be Bought With Gift Card","Product Types, Which Can Be Bought With Gift Card"
"Use a gift card to pay for shipping","Use a gift card to pay for shipping"
"Use a gift card to pay for tax","Use a gift card to pay for tax"
"Gift Card options","Gift Card options"
"Lifetime (Days)","Lifetime (Days)"
"Allow Message","Allow Message"
"Allow customers to use gift cards they bought for themselves","Allow customers to use gift cards they bought for themselves"
"Allow customers to choose delivery date for certificates","Allow customers to choose delivery date for certificates"
"Notify Customers before Certificate Expires","Notify Customers before Certificate Expires"
"Number of Days before Expiry","Number of Days before Expiry"
"When set to 0 (zero), the notification is sent once the certificate expires.","When set to 0 (zero), the notification is sent once the certificate expires."
"Email Options","Email Options"
"Email Sender","Email Sender"
"Email Template","Email Template"
"Send copy to","Send copy to"
"Separated by comma","Separated by comma"
"Expiry Notification Email Template","Expiry Notification Email Template"
"Notice of the expiry of the Gift Card","Notice of the expiry of the Gift Card"
"Send confirmation to sender","Send confirmation to sender"
"Sender Confirmation Email Template","Sender Confirmation Email Template"
"Order History","Order History"
"Add New","Add New"
"Delete selected items?","Delete selected items?"
ID,ID
"Gift Code","Gift Code"
"Initial Value","Initial Value"
"Current Value","Current Value"
Order,Order
"Gift Code Pool Title","Gift Code Pool Title"
"Code Pool Template","Code Pool Template"
"Gift Code Qty","Gift Code Qty"
"Unused Gift Codes","Unused Gift Codes"
"Image Thumbnail","Image Thumbnail"
"Image title","Image title"
50,50
